num_ref;etablissements;localite;type_musee;total_06;grat_06;total_07;grat_07;evolution_07_06_en;total_08;grat_08;evolution_08_07_en;total_09;grat_09;evolution_09_08_en;total_10;grat_10;evolution_10_09_en;commentaires;wgs84
7510706;MUSEE NATIONAL DE LA LEGION D'HONNEUR ET DES ORDRES DE CHEVALERIE;PARIS;;Fermé;Fermé;45 000;45 000;;35 000;35 000;-22;44 500;44 500;27;42 000;42 000;-6;;48.8602978, 2.3246804
7511618;MUSEE NATIONAL DE LA MARINE + Annexes;PARIS;;284 951;110 887;352 802;111 472;24;441 457;174 708;25;410 262;209 142;-7;385 257;174 297;-6;Un des annexes du musée national de la Marine faisait partie de l'expérimentation de la gratuité menée du 1er janvier au 30 juin 2008 (Toulon);48.856614, 2.3522219
7713101;MUSEE MUNICIPAL DES CAPUCINS;COULOMMIERS;;2 569;962;3 330;2 037;30;3 310;1 416;-1;3 253;1 246;-2;3 120;1 672;-4;;48.813071, 3.083497
7733301;MUSEE DE PREHISTOIRE D'ILE DE FRANCE;NEMOURS;;33 724;30 988;33 950;30 553;1;25 067;21 597;-26;24 221;20 983;-3;22 462;19 575;-7;;48.2611483, 2.7136201
7832201;MUSEE DE LA TOILE DE JOUY;JOUY EN JOSAS;;confidentiel;confidentiel;10 059;1 348;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;10 245;1 930;confidentiel;Le musée a fermé ses portes du 1er juillet au 31 août 2005 en raison de la réfection totale de ses peintures;48.7690689, 2.1514386
9106401;MUSEE FRANCAIS DE LA PHOTOGRAPHIE;BIEVRES;;4 325;1 964;5 784;2 836;34;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;6 026;1 396;confidentiel;;48.7630164, 2.2256702
9109701;MUSEE DUNOYER DE SEGONZAC;BOUSSY-SAINT-ANTOINE;;208;208;260;260;25;;;;;;;;;;;48.6892489, 2.530174
9201203;ESPACE DEPARTEMENTAL ALBERT KAHN;BOULOGNE-BILLANCOURT;;70 147;26 879;82 172;30 127;17;104 646;39 665;27;116 674;37 136;11;113 566;35 149;-3;;48.84325, 2.237803
9202602;MUSEE DES TRAVAUX PUBLICS;COURBEVOIE;;Fermé;;Fermé;;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.900552, 2.25929
9205101;MUSEE DES AUTOMATES;NEUILLY SUR SEINE;;Fermé;;5 313;2 750;;2 317;1 971;-56;1 450;1 450;-37;1 382;1 382;-5;Fréquentation des expositions temporaires;48.884831, 2.26851
9206401;MUSEE MUNICIPAL DE SAINT-CLOUD;SAINT-CLOUD;;7 079;7 079;3 675;3 675;-48;confidentiel;confidentiel;confidentiel;15 814;15 179;confidentiel;19 915;18 675;26;Hors des périodes d'expositions temporaires, le musée ne compte pas ses visiteurs;48.846132, 2.217578
7510709;MUSEE DU QUAI BRANLY;PARIS;Musée national;952 070;366 759;1 492 440;571 554;57;1 389 490;622 360;-7;1 496 439;698 946;8;1 326 154;690 504;-11;;48.8609881, 2.2976017
7511201;AQUARIUM TROPICAL;PARIS;Musée national;217 673;83 644;205 369;93 854;-6;190 380;73 954;-7;209 333;82 086;10;257 151;102 857;23;;48.8352143, 2.4093566
7510402;MUSEE NATIONAL D'ART MODERNE (G.POMPIDOU) + Expositions + actions culturelles;PARIS;Musée national;2 711 331;;2 696 857;;-1;2 850 490;;6;3 656 759;;28;3 255 080;;-11;;48.856614, 2.3522219
7511605;ATP- MUSEE DES CIVILISATIONS DE L'EUROPE ET DE LA MEDITERRANEE;PARIS;Musée national;45 776;;25 580;19 238;-44;10 734;;-58;21 281;21 281;98;13 832;13 832;-35;;48.8538528, 2.3655465
7511701;MUSEE JEAN-JACQUES HENNER;PARIS;Musée national;Fermé;Fermé;Fermé;;;Fermé;;;5 603;2 281;;13 428;4 699;140;;48.8830493, 2.307701
7510801;MUSEE NISSIM DE CAMONDO (UCAD);PARIS;Musée national;39 062;12 031;38 121;13 433;-2;42 321;9 995;11;45 943;11 230;9;56 103;14 579;22;;48.856614, 2.3522219
7510516;MUSEE DU SERVICE DE SANTE DES ARMEES DU VAL-DE-GRACE;PARIS;Appellation Musée de France en 2006;11 000;;11 646;6 296;6;11 709;5 389;1;17 704;10 267;51;13 857;6 393;-22;;48.8423775, 2.344719
7511801;MUSEE DE MONTMARTRE;PARIS;;46 830;4 108;30 164;2 121;-36;42 859;3 936;42;54 354;3 813;27;37 533;2 928;-31;;48.887691, 2.3406066
7710802;MUSEE DES TRANSPORTS URBAINS;CHELLES;;Fermé;Fermé;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Le musée des transport a partiellement déménagé à Chelles en 2008. N'est plus localisé à Colombes;48.877535, 2.59016
7753301;MUSEE DEPARTEMENTAL STEPHANE MALLARME;VULAINES-SUR-SEINE;;3 067;821;5 173;1 855;69;6 207;2 259;20;5 961;2 140;-4;5 336;1 801;-10;;48.430797, 2.7502213
9202501;MUSEE MUNICIPAL D'ART ET D'HISTOIRE;COLOMBES;;4 562;4 562;5 407;5 407;19;4 966;4 966;-8;5 536;5 536;11;6 628;6 628;20;;48.9220615, 2.2533313
9206303;MUSEE MUNICIPAL D'ART ET D'HISTOIRE + Annexe;RUEIL-MALMAISON;;4 678;4 299;3 457;2 994;-26;3 269;3 103;-5;3 657;3 657;12;2 669;2 669;-27;;48.870903, 2.166774
9301301;MUSEE DE L'AIR ET DE L'ESPACE;LE BOURGET;;186 903;43 796;200 989;107 497;8;274 678;274 678;37;259 539;83 052;-6;253 007;88 973;-3;Musée faisant partie de l'expérimentation de la gratuité du 1er janvier au 30 juin 2008;48.9473574, 2.4355102
9304601;MUSEE D'HISTOIRE LOCALE;LIVRY-GARGAN;;11 887;11 887;12 165;12 165;2;confidentiel;confidentiel;confidentiel;;;;;;;;48.91923, 2.536118
9529501;MUSEE ARCHEOLOGIQUE DU VAL D'OISE;GUIRY EN VEXIN;;12 725;;10 953;1 799;-14;12 591;2 688;15;11 943;2 130;-5;9 164;;-23;;49.1085095, 1.8496807
9542801;MUSEE JEAN-JACQUES ROUSSEAU;MONTMORENCY;;2 085;1 146;2 738;1 678;31;2 742;1 972;0;3 075;1 688;12;2 732;1 925;-11;;48.9870094, 2.3214503
7510103;MUSEE DE L'ORANGERIE DES TUILERIES;PARIS;Musée national;447 093;153 417;598 762;140 729;34;543 754;135 295;-9;568 586;170 106;5;690 958;224 032;22;;48.8639507, 2.3221815
7510305;MUSEE NATIONAL PICASSO;PARIS;Musée national;501 060;210 779;470 500;151 867;-6;342 750;113 413;-27;249 775;99 820;-27;Fermé;Fermé;;Fermeture du musée Picasso en septembre 2009 pour travaux pour environ deux ans;48.859767, 2.362733
7510603;MUSEE HEBERT;PARIS;Musée national;Fermé;Fermé;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.856614, 2.3522219
7510705;MUSEE NATIONAL D'ORSAY;PARIS;Musée national;3 009 203;1 185 251;3 166 509;1 284 813;5;3 025 164;1 127 529;-4;3 022 012;1 327 622;0;2 985 510;1 347 515;-1;;48.8599614, 2.3265614
7511401;MUSEE LENINE;PARIS;;Fermé;Fermé;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.8264121, 2.3305086
7718602;MUSEE D'ART ET D'HISTOIRE MILITAIRE;FONTAINEBLEAU;;4 143;3 031;6 014;5 022;45;3 128;1 927;-48;3 043;2 025;-3;2 834;2 027;-7;;48.4070816, 2.6988237
7728401;MUSEE BOSSUET;MEAUX;;8 323;3 123;7 376;4 119;-11;9 937;7 231;35;5 135;1 486;-48;13 242;5 219;158;;48.9606762, 2.8786426
7744501;ECOMUSEE DE SAVIGNY LE TEMPLE;SAVIGNY LE TEMPLE;;confidentiel;confidentiel;7 618;7 618;confidentiel;12 586;12 288;65;10 300;10 053;-18;9 055;9 055;-12;;48.5741808, 2.5826261
7817201;MUSEE DE LA BATELLERIE;CONFLANS-STE-HONORINE;;11 846;1 670;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;;49.000275, 2.09178
7838401;MUSEE ZOLA-DREYFUS;MEDAN;Appellation Musée de France en 2009;;;;;;;;;6 438;410;;6 443;338;0;;
7864602;MUSEE ET DOMAINE NATIONAL DE VERSAILLES ET DE TRIANON;VERSAILLES;Musée national;4 741 758;911 527;5 326 317;1 015 433;12;5 606 127;963 153;5;5 659 606;1 696 929;1;6 087 556;1 683 687;8;;48.801408, 2.130122
9403401;ECOMUSEE DU VAL DE BIEVRE;FRESNES;;8 919;8 919;9 831;9 831;10;11 659;11 659;19;11 470;11 470;-2;10 669;10 669;-7;;48.757205, 2.326243
9404601;MUSEE FRAGONARD;MAISON-ALFORT;Appellation Musée de France en 2006;4 052;;Fermé;Fermé;;3 048;1 099;;9 324;4 122;206;8 883;4 979;-5;Le musée Fragonard accueille un grand nombre de personnes gratuitement mais actuellement, ces personnes ne sont pas comptabilisées. Musée fermé en 2007 pour travaux. Réouverture en novembre 2008;48.801148, 2.429443
9406801;MUSEE DE SAINT-MAUR - VILLA MEDICIS;LA VARENNE-SAINT-HILAIRE;;7 872;7 806;8 828;8 828;12;10 573;10 454;20;6 827;6 789;-35;7 930;7 883;16;;48.7929493, 2.5147664
