num_ref;etablissements;localite;type_musee;total_06;grat_06;total_07;grat_07;evolution_07_06_en;total_08;grat_08;evolution_08_07_en;total_09;grat_09;evolution_09_08_en;total_10;grat_10;evolution_10_09_en;commentaires;wgs84
9204001;MUSEE FRANCAIS DE LA CARTE A JOUER;ISSY-LES-MOULINEAUX;;15 173;9 007;16 060;12 764;6;15 086;10 909;-6;15 011;13 586;0;15 094;11 404;1;;48.8226304, 2.2735302
9207101;MUSEE DE L'ILE DE FRANCE *;SCEAUX;;39 089;39 089;93 311;93 311;139;87 700;87 700;-6;56 370;44 470;-36;47 504;47 504;-16;"Gratuité du musée de Sceaux à partir de mars 2005. Augmentation de la fréquentation en 2007 grâce à l'exposition ""la Duchesse de Berry"" du 23 avril au 23 jullet 2007";48.774456, 2.300018
9401501;MUSEE ADRIEN MENTIENNE;BRY-SUR-MARNE;;;;2 000;2 000;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.834913, 2.5236489
7510602;MUSEE EUGENE DELACROIX;PARIS;Musée national;34 044;9 890;38 425;9 916;13;38 766;20 744;1;46 930;13 562;21;67 572;21 384;44;;48.8544291, 2.3356882
7510501;MUSEE NATIONAL DU MOYEN-AGE - THERMES DE CLUNY;PARIS;Musée national;289 958;124 048;293 975;128 570;1;360 100;272 339;22;314 557;154 289;-13;306 145;150 234;-3;;48.8502655, 2.3438838
7510901;MUSEE GUSTAVE MOREAU;PARIS;Musée national;29 633;12 038;32 592;13 841;10;32 646;13 302;0;32 643;16 036;0;38 665;17 800;18;;48.8779639, 2.3344884
7511502;MUSEE BOURDELLE;PARIS;Musée de la ville de Paris (appellation en 2004);44 059;27 277;49 810;31 815;13;62 408;32 574;25;48 726;31 559;-22;62 211;30 323;28;;48.8431415, 2.3185435
7511609;MUSEE DE L'HOMME (MNHN);PARIS;Musée du Muséum National d'Histoire Naturelle;165 417;51 704;154 273;29 991;-7;179 821;38 110;17;55 075;25 500;-69;Fermé;Fermé;;Fermeture du musée de l'Homme (muséum) en mars 2009 pour travaux, les gratuits correspondent au week-end de fermeture (2 et 22 mars);48.843673, 2.3560552
7702201;MUSEE DEPARTEMENTAL DE L'ECOLE DE BARBIZON;BARBIZON;;29 078;7 644;25 157;6 975;-13;21 400;7 839;-15;18 782;5 184;-12;18 539;7 660;-1;;48.4462036, 2.602561
7728402;MUSEE DE LA GRANDE GUERRE;MEAUX;Appellation Musée de France en 2007;;;PREFIGURATION;PREFIGURATION;;PREFIGURATION;PREFIGURATION;;PREFIGURATION;PREFIGURATION;;PREFIGURATION;PREFIGURATION;PREFIGURATION;;48.9713368, 2.9041135
7728802;MUSEE DE MELUN;MELUN;;5 393;5 011;6 802;;26;5 800;4 700;-15;5 300;4 000;-9;6 600;;25;;48.5366203, 2.6590847
7733302;CHATEAU-MUSEE DE NEMOURS;NEMOURS;;Fermé;;Fermé;;;5 903;3 829;;8 223;5 521;39;6 179;3 708;-25;;48.265541, 2.697111
7836102;MUSEE DE L'HOTEL DIEU;MANTES-LA-JOLIE;;6 939;1 465;3 994;;-42;8 750;6 153;119;7 809;4 561;-11;7 947;2 181;2;;48.9900331, 1.71917
7835001;MUSEE PROMENADE DE MARLY-LE ROI;MARLY-LE-ROI-LOUVECIENNES;;12 436;2 096;6 629;1 870;-47;7 007;2 301;6;9 027;2 362;29;8 795;2 844;-3;;48.86189, 2.112527
9201201;MUSEE DES ANNEES TRENTE;BOULOGNE-BILLANCOURT;;56 012;;28 005;;-50;28 342;15 737;1;74 658;14 768;163;61 954;20 558;-17;"Hausse de la fréquentation en 2006 grâce à l'exposition ""Tamara de Lempicka"" du 30 mars au 16 juillet 2006. Augmentation de la fréquentation 2009 grâce à l'exposition consacrée à B. Bardot";48.8361441, 2.2391988
9401701;MUSEE DE LA RESISTANCE NATIONALE;CHAMPIGNY-SUR-MARNE;;NC;NC;NC;NC;;NC;NC;;NC;NC;;NC;NC;;;48.817049, 2.515556
9405201;MUSEE DE NOGENT SUR MARNE;NOGENT SUR MARNE;;5 856;5 856;5 785;5 785;-1;7 233;6 936;25;6 528;6 528;-10;6 300;6 300;-3;;48.835134, 2.471677
9408101;MUSEE D'ART CONTEMPORAIN DU VAL-DE-MARNE;VITRY-SUR-SEINE;;107 309;71 488;86 221;63 634;-20;74 234;60 579;-14;56 837;46 308;-23;75 493;56 411;33;;48.7930046, 2.3875381
7511603;MUSEE DES ARTS ASIATIQUES-GUIMET;PARIS;Musée national;263 933;93 239;309 509;103 526;17;360 016;207 005;16;246 835;113 249;-31;224 178;112 179;-9;;48.8651096, 2.2936395
7510306;MUSEE COGNAC-JAY, MUSEE DU XVIIIe SIECLE DE LA VILLE DE PARIS;PARIS;Musée de la ville de Paris (appellation en 2004);33 883;33 883;24 786;24 314;-27;41 303;32 269;67;50 776;39 748;23;44 086;38 847;-13;;48.856614, 2.3522219
7510502;GALERIE  DE MINERALOGIE ET DE GEOLOGIE (MNHN));PARIS;Musée du Muséum National d'Histoire Naturelle;23 207;5 712;41 021;8 713;77;108 382;19 282;164;53 165;11 873;-51;2 410;584;-95;Fermeture du musée le 10 janvier 2010 pour travaux. Réouverture prévue en 2011;48.843673, 2.3560552
7510507;GALERIE DE BOTANIQUE (MNHN);PARIS;Musée du Muséum National d'Histoire Naturelle;N'existe plus;;N'existe plus;;;N'existe plus;;;N'existe plus;;;N'existe plus;;;;48.843673, 2.3560552
7510301;MUSEE DE LA CHASSE ET DE LA NATURE;PARIS;;Fermé;;44 281;16 173;;40 809;18 114;-8;39 949;21 303;-2;39 335;19 381;-2;;48.8612463, 2.3582848
7740501;MUSEE DES PAYS DE SEINE-ET-MARNE;ST-CYR-SUR-MORIN;;6 479;4 198;7 129;5 849;10;9 124;6 428;28;10 405;7 350;14;12 193;10 425;17;;48.907911, 3.182131
7835601;MUSEE DES GRANGES DE PORT ROYAL;MAGNY-LES-HAMEAUX;Musée national;19 575;12 311;20 280;13 274;4;22 642;12 500;12;20 581;12 331;-9;18 127;13 061;-12;;48.741829, 2.053208
7820801;MUSEE DE LA VILLE;MONTIGNY-LE-BRETONNEUX;;11 176;6 430;13 984;9 316;25;13 300;6 976;-5;13 308;3 500;0;11 713;4 149;-12;;48.7664649, 2.031426
7855102;MUSEE MUNICIPAL D'ART ET D'HISTOIRE;SAINT-GERMAIN-EN-LAYE;;Fermé;Fermé;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.898908, 2.093761
9111401;MUSEE MUNICIPAL DE BRUNOY;BRUNOY;;4 027;3 198;4 181;3 612;4;4 161;3 697;0;4 379;4 214;5;2 528;2 528;-42;;48.700298, 2.5003403
9201202;MUSEE JARDIN PAUL LANDOWSKI;BOULOGNE-BILLANCOURT;;;;;;;;;;;;;;;;;48.84325, 2.237803
9204801;MUSEE D'ART ET D'HISTOIRE;MEUDON;;11 797;11 114;10 895;10 895;-8;10 372;10 372;-5;9 330;9 330;-10;Fermé;Fermé;;;48.812995, 2.23847
9207201;CITE DE LA CERAMIQUE - SEVRES;SEVRES;Musée national;34 437;14 345;37 744;16 284;10;34 257;14 153;-9;35 348;13 846;3;40 075;17 531;13;;48.8224777, 2.2067923
9207301;MUSEE MUNICIPAL RENE SORDES;SURESNES;;Fermé;Fermé;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.869798, 2.219033
